train_loss,train_acc,train_precision,train_recall,train_f1,valid_loss,valid_acc,valid_precision,valid_recall,valid_f1
2.714110964,0.296595991,0.317554742,0.296595961,0.292158812,1.388673361,0.575892866,0.632374644,0.575892866,0.546542287
0.905182625,0.727678597,0.72769624,0.727678537,0.726199269,0.640044608,0.783482134,0.821379483,0.783482194,0.774590552
0.393642342,0.881975472,0.882879972,0.881975412,0.881853461,0.507247956,0.823660731,0.833392978,0.823660791,0.813466072
0.279037107,0.910714269,0.91121453,0.910714269,0.910496533,0.475487139,0.839285731,0.867019594,0.839285731,0.838843942
0.20500519,0.934709847,0.935261726,0.934709787,0.934693277,0.467464358,0.839285731,0.865221977,0.839285791,0.841198683
0.150275692,0.953404009,0.953616202,0.953404009,0.95332402,0.432835587,0.861607134,0.885918915,0.861607134,0.860710502
0.128840784,0.962611616,0.962870181,0.962611616,0.962571442,0.51475399,0.84375,0.869301796,0.84375,0.84007895
0.10824022,0.967354894,0.967691004,0.967354894,0.967355132,0.522261093,0.850446403,0.871034503,0.850446463,0.849887073
0.078316306,0.976841509,0.977124095,0.976841569,0.976858079,0.365624056,0.886160731,0.899078369,0.886160731,0.884568453
0.092820418,0.975446403,0.975590825,0.975446403,0.975430369,0.58672751,0.84375,0.869873464,0.84375006,0.842512012
0.071029413,0.98046875,0.980609357,0.98046881,0.980479121,0.42007202,0.875,0.895023465,0.87500006,0.876346946
0.097781475,0.970982134,0.971235693,0.970982134,0.970981836,0.544632812,0.848214269,0.869737566,0.848214328,0.845210254
0.105211165,0.96484375,0.965170622,0.96484375,0.964851558,0.471509855,0.875,0.903077126,0.875,0.875719309
0.072991907,0.978794634,0.97886169,0.978794694,0.978752851,0.448044755,0.870535731,0.884164155,0.870535731,0.869303823
0.074702738,0.976004481,0.976153195,0.976004541,0.975944698,0.474227948,0.848214269,0.873744249,0.848214328,0.847910881
0.057814537,0.982421875,0.982524633,0.982421875,0.982410133,0.468999506,0.863839269,0.876463294,0.863839328,0.861496508
0.036320512,0.990792394,0.990907669,0.990792394,0.99079144,0.466057362,0.879464269,0.904024065,0.879464269,0.878514826
